ORISPL_CODE,UNITID,CO2I_06_08,CO2I_15_17
3456,**5,0.6317891768632683,0.8015047235708617
3456,1,0.6618783064345923,0.6545557982489585
3456,2,0.6206479296873358,0.6315048897041635
3456,3,0.6083184157798398,0.6083184157798398
3644,1,1.0681377354360921,1.0681377354360921
3644,2,1.0834587265832811,1.0686074742150111
3648,1,0.8061708183933421,0.8646890430739677
3648,2,0.775323120842639,0.8296505405163801
3648,3,0.6634036685242706,0.7325028061841274
3648,4,0.6188718786111391,0.724748996728854
3648,5,0.6235487995976945,0.7390462918480181
3648,6,0.6224819552244268,0.7633436662374111
3845,BW21,1.1184975228956116,1.1259879359054465
3845,BW22,1.1258633387268697,1.1321255168029023
4158,BW41,1.1360288703021677,1.126309623194014
4158,BW42,1.1419284431919983,1.1676447844058095
4158,BW43,1.102206577049635,1.0884890221419063
4158,BW44,1.1757308813119043,1.1351143135013537
4162,1,1.0742226113928743,1.069900489570579
4162,2,1.0377667960652783,1.0404193352349331
4162,3,1.0642217586933291,1.0509808810421586
4941,1,1.0232607684978554,1.0707391270751503
4941,2,1.0270677664942105,1.0450038790892737
4941,3,1.0162971338488904,1.0205242630034923
6021,C1,1.0440101694333885,1.0296354038894435
6021,C2,1.0796773786232081,1.0473498722029142
6021,C3,0.9786419589968545,0.9829502196745252
6076,1,1.1281548837967827,1.1204209234180662
6076,2,1.167044596268996,1.1521857217885645
6076,3,1.067736829166395,1.0577782744400932
6076,4,1.053542988832591,1.051771953706751
6089,B1,1.3489704197291223,1.2940262292270495
6101,BW91,1.138539039822367,1.1419942114648978
6106,1SG,1.024966747679537,1.0070941285538744
6112,2,0.4243870173789326,0.4272215690216428
6112,3,0.42499362416954406,0.43069525823979676
6112,4,0.43862921913514186,0.441280487019869
6165,1,1.0153664848983004,0.977458015633999
6165,2,1.0080171052866131,1.0048733791019442
6165,3,0.9838652188926451,0.9917819378185498
6177,U1B,1.0458786164135387,1.0568265944819988
6177,U2B,1.0249940757768932,1.0448258313717156
6204,1,1.1117024782107767,1.124380901466129
6204,2,1.0616997793985672,1.0546067910182002
6204,3,1.150008682315144,1.1551784672515877
6248,1,1.111528996969098,1.111283035591277
6481,1SGA,0.9849938963378099,0.9341880660814974
6481,2SGA,0.9723444552324617,0.9553832716211776
6761,101,1.0354810852259895,1.0377963240834596
6761,A,0.8182851135288958,0.7896729053287124
6761,B,0.7738609354480013,0.7628135493172776
6761,C,0.7691259499820758,0.7645760931217224
6761,D,0.7913187081110309,0.7963656964711461
6761,F,0.7000203432709323,0.6616938210193704
7082,**3,0.7673486375661918,0.7446011610231495
7082,**4,0.6935723759064988,0.6711077632469062
7266,1,0.5698192684545159,0.5504606513733005
7266,2,0.49182870870185974,0.48044140643724714
7307,5,0.45158517339927357,0.8536082474413099
7315,1,0.5875209734858235,0.5613622069629969
7350,CTG1,0.41171716182233586,0.4097879048802894
7350,CTG2,0.40190308725553386,0.4018922534279312
7449,NA1,0.5450042531846411,0.5343155049661497
7456,1,0.638559428018897,0.638559428018897
7456,2,0.6363416146379465,0.6487319532941922
7504,CT1,0.6031748642582171,0.6031748642582171
7527,1,0.614451909273423,0.5445674079827116
7527,2,0.6403254149909657,0.6361403439547333
7551,1A,0.539327545990075,0.521740730541387
7551,1B,0.5312323283982262,0.540715542882367
7551,1C,0.6079062207943635,0.6005818207944855
7552,1,0.418878793744562,0.4171687032322446
7605,1,0.4158711558560393,0.4157185406813337
7693,1,0.5921057386404848,0.5874539319100188
7870,CT1,0.705931323192928,0.7530849712073475
7870,CT2,0.7044544513055514,0.7398954390114523
7870,CT3,0.7328943797534454,0.7528889665523179
7953,CT1,0.6218829239683495,0.627275586523053
7953,CT2,0.695285845887022,0.695285845887022
7953,CT3,0.7025097943885726,0.7157090203801624
7967,1,0.6444245974712092,0.7081651562748523
7967,2,0.6347311783581723,0.671515775606303
7975,1,0.6195308553328094,0.6195308553328094
7975,2,0.6166824444832965,0.6264432281442041
7975,3,0.6424179172945047,0.6195295441081042
