ORISPL_CODE,UNITID,gen_06_08,gen_15_17
55818,F1CT,2837923.94,2676958.12
55835,1,5271076.17,2674376.08
55835,2,4819044.08,2631085.76
55841,A01,3223195.31,3410167.81
55841,A03,3114562.11,3724745.49
55847,UNIT1,71179.81,71151.35
,,,1166103.46
,,,419764.23
55855,UNIT1,66782.09,55214.15
55858,UNT1,,
55858,UNT2,,
55875,GT1,25795.24,
55933,TPP1,22159,827410.35
55933,TPP2,20497,791082.04
55951,AMP-1,145130.75,30189.75
55963,1,76911.57,55410.68
55970,2,3390643.43,5201919.36
55970,3,3474707.68,5148682.23
55977,CTG-1,1270963.55,1021950.58
55985,CTG1,4707146.12,3587524.83
55985,CTG2,4781557.12,3533291.63
56026,PCT1,678483.97,1130696.64
56026,PCT2,697617.93,1236787.03
56041,M1,1260256.35,1008812.53
56041,M2,1253140.81,992584.43
56046,1,4037078.84,4528011.19
56078,1,2001743.88,1914994.14
56078,2,1988221.98,1722333.95
56102,CTG1A,4351657.19,2372939.11
56102,CTG1B,4144147.73,2288700.72
56135,1,46667.75,95498.08
56135,2,45807.73,69144.62
56143,1,91624.75,61421.14
56143,2,79815.75,51612.98
,,,43563.52
,,,38916.28
56177,U1,1637683.97,1308621.25
,,,
56227,PWEU1,4637416.63,6179592.75
56232,1,38272.28,117687.77
,,,171686.86
56237,CT01,2155027.8,3085769.26
56237,CT02,2170778.87,3056010.52
,,,3495405.5
,,,3490289.07
56239,GT-1,186911.91,79219.12
56239,GT-2,179550.39,69902.03
56253,MC-1,121670.36,142151.92
,,,146158.01
56298,CT001,454157.32,554594.56
56298,CT002,440336.5,512525.13
,,,
56445,CT-01,342692.72,174452.12
56445,CT-02,356861.73,151084.1
56458,HOBB1,269474.37,4963953.56
56458,HOBB2,241556.51,4913172.73
,,,2103402.06
,,,2187694.11
,,,110526.54
56472,CT1,14326.34,77245.33
56473,CT1,13460.41,83556.01
56474,CT1,15744.12,94098.37
56475,CT1,14048.02,78836.6
,,,3892130.97
,,,3930676.01
56482,1,52071.33,78484.42
56482,2,49402.29,68129.28
,,,4148249.23
,,,4084815.94
56569,1,41733.84,96960.86
56569,2,40681.77,53531.38
,,,
,,,240222.05
,,,
,,,91777.89
,,,82727.35
,,,408977.83
,,,441798.76
,,,435001.52
,,,409526.08
,,,188595.44
,,,172292.08
,,,84734.76
,,,144164.83
,,,115512.41
,,,175445.74
,,,64015.57
,,,64022.53
,,,21335.87
,,,19958.19
,,,25618.11
,,,30154.2
,,,40096.14
,,,47606.16
,,,53258.21
,,,51364.32
,,,65978.67
,,,81720.87
,,,63671.62
,,,78369.83
,,,202390.84
,,,190092.67
,,,613837.68
,,,586180.05
,,,613810.93
,,,615618.63
,,,19000.15
,,,36114.97
,,,87679.89
,,,86813.53
,,,79824.67
,,,83949.71
,,,4232515.35
,,,
,,,
,,,
,,,76283.84
,,,69635.59
,,,61385.51
,,,80362.8
,,,
,,,194565.22
,,,206705.26
,,,206112.58
,,,185761.69
,,,179562.82
,,,162950.74
,,,180998.97
,,,165155.9
,,,70733.93
,,,70147.03
,,,69798.91
,,,69669.39
,,,261196.75
,,,254192.92
,,,252019.25
,,,209152.32
,,,213807.91
,,,55995.05
,,,59415.67
,,,59125
,,,9988.35
,,,123168.4
,,,140206.96
,,,10199.83
,,,1755653.51
,,,43633.81
,,,30502.53
,,,2625942.18
,,,697547.79
,,,638920.83
,,,270720.92
,,,224438.9
