ORISPL_CODE,UNITID,NAME,STATE,FUEL,GAS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
465,2,Arapahoe,CO,coal,CO2,259892.82,312749.617,,,,,,,,,,,,,,,,
465,2,Arapahoe,CO,coal,SO2,1400170.786,1516434.524,,,,,,,,,,,,,,,,
465,2,Arapahoe,CO,coal,NOX,2010442.36,2190923.28,,,,,,,,,,,,,,,,
465,2,Arapahoe,CO,coal,gen,215028.81,196739.89,,,,,,,,,,,,,,,,
465,3,Arapahoe,CO,coal,CO2,430515.382,501346.703,512465.281,275524.291,386678.844,438480.846,461477.073,454702.653,346454.652,323351.928,351027.016,355409.269,344788.155,,,,,
465,3,Arapahoe,CO,coal,SO2,2366820.17,2689204.09,2377541.457,1356200.199,1880257.715,1759861.888,2051426.996,1740368.326,1847251.773,1601481.997,1671500.456,1887829.53,2326978.733,,,,,
465,3,Arapahoe,CO,coal,NOX,3283952.209,3543958.089,3827858.651,2156377.377,2893611.894,3411864.057,3458408.048,3752596.298,2849300.755,2486560.283,2594056.634,2498577.713,2550986.323,,,,,
465,3,Arapahoe,CO,coal,gen,284737.61,292697.27,322196.31,218287.78,280839.84,310666.43,318071.67,303264.01,219803.57,209144.44,219198.87,222932.81,214448.35,,,,,
465,4,Arapahoe,CO,coal,CO2,733647.587,957691.177,951352.858,1021331.044,778896.007,882506.585,907261.542,836417.106,849508.473,634165.67,537061.102,777081.071,697383.727,,,,,
465,4,Arapahoe,CO,coal,SO2,3357286.409,3888071.194,3845239.509,4048685.752,2942951.227,3228756.59,3873347.004,3486068.009,3444137.163,2402117.838,2027442.164,3009980.848,3373926.839,,,,,
465,4,Arapahoe,CO,coal,NOX,1848966.67,2125961.987,2405396.439,2523649.123,1779383.472,2314358.836,2499613.916,2072038.795,2114183.368,1628342.926,1332900.011,1964823.58,1744128.754,,,,,
465,4,Arapahoe,CO,coal,gen,698161.96,809899.24,708517.05,855532.78,669880.87,738324.99,758411.96,663165.29,639305.9,461812.89,418369.07,652271.85,594538.4,,,,,
468,2,Cameo,CO,coal,CO2,454802.02,434629.196,410712.407,387681.456,420473.525,373993.083,335330.804,356653.015,340504.626,306880.471,,,,,,,,
468,2,Cameo,CO,coal,SO2,4138017.299,4190862.318,4029242.123,3754819.427,4216140.572,3798367.866,3277195.653,3590235.402,3169216.306,2850696.481,,,,,,,,
468,2,Cameo,CO,coal,NOX,1694781.857,1638770.109,1425435.837,1352876.104,1462947.052,1313816.865,1181170.691,1189810.651,1038669.835,917979.781,,,,,,,,
468,2,Cameo,CO,coal,gen,389345.05,354192.17,353428.51,324648.63,365452.76,303011.02,275471.61,290062.88,271957.96,248462.56,,,,,,,,
469,1,Cherokee,CO,coal,CO2,796758.209,918504.728,1052226.375,788027.363,834944.124,856826.596,795127.256,900715.451,558990.959,702485.396,900194.717,276366.378,,,,,,
